id,keywords
338952,[]
424694,"[{'id': 212, 'name': 'london england'}, {'id': 1228, 'name': '1970s'}, {'id': 4048, 'name': 'musician'}, {'id': 5565, 'name': 'biography'}, {'id': 6027, 'name': 'music'}, {'id': 9672, 'name': 'based on a true story'}, {'id': 10229, 'name': 'singer'}, {'id': 10232, 'name': 'fame'}, {'id': 18001, 'name': 'rock band'}, {'id': 41591, 'name': 'music band'}, {'id': 185722, 'name': 'based on true events'}, {'id': 208289, 'name': '1980s'}]"
360920,"[{'id': 10744, 'name': 'dr. seuss'}, {'id': 207317, 'name': 'christmas'}]"
438799,"[{'id': 1956, 'name': 'world war ii'}, {'id': 6091, 'name': 'war'}, {'id': 6152, 'name': 'supernatural'}, {'id': 9156, 'name': 'd-day'}, {'id': 9950, 'name': 'thriller'}, {'id': 14638, 'name': 'american'}, {'id': 194402, 'name': 'paratrooper'}, {'id': 234161, 'name': 'american g.i.'}]"
446807,[]
424139,"[{'id': 3335, 'name': 'halloween'}, {'id': 4728, 'name': 'knife'}, {'id': 9663, 'name': 'sequel'}, {'id': 10059, 'name': 'boogeyman'}, {'id': 11040, 'name': 'masked killer'}, {'id': 241498, 'name': 'warren county'}, {'id': 241499, 'name': 'haddonfield'}]"
399402,"[{'id': 339, 'name': 'submarine'}]"
544431,"[{'id': 10714, 'name': 'serial killer'}, {'id': 12565, 'name': 'psychological thriller'}, {'id': 240119, 'name': 'father son relationship'}]"
369972,"[{'id': 305, 'name': 'moon'}, {'id': 818, 'name': 'based on novel or book'}, {'id': 1432, 'name': 'nasa'}, {'id': 1523, 'name': 'obsession'}, {'id': 2858, 'name': 'sacrifice'}, {'id': 3801, 'name': 'space travel'}, {'id': 4040, 'name': 'space mission'}, {'id': 4183, 'name': 'wife'}, {'id': 5565, 'name': 'biography'}, {'id': 5721, 'name': 'engineer'}, {'id': 9682, 'name': 'history'}, {'id': 10163, 'name': 'cancer'}, {'id': 14626, 'name': 'astronaut'}, {'id': 159289, 'name': 'historical event'}, {'id': 164881, 'name': 'death of daughter'}, {'id': 174491, 'name': 'compromise'}, {'id': 185722, 'name': 'based on true events'}, {'id': 190444, 'name': 'test pilot'}, {'id': 208992, 'name': '1960s'}, {'id': 223798, 'name': 'cockpit'}, {'id': 226233, 'name': 'apollo program'}, {'id': 235405, 'name': 'true story'}, {'id': 236537, 'name': 'first moon landing'}, {'id': 242965, 'name': 'neil armstrong'}]"
491418,"[{'id': 2393, 'name': 'adoption'}]"
470044,"[{'id': 818, 'name': 'based on novel or book'}, {'id': 246466, 'name': 'based on young adult novel'}]"
426543,"[{'id': 3205, 'name': 'fairy tale'}]"
451925,"[{'id': 4379, 'name': 'time travel'}, {'id': 14602, 'name': 'break-up'}]"
404368,[]
463272,"[{'id': 470, 'name': 'spy'}, {'id': 9253, 'name': 'slapstick'}, {'id': 9663, 'name': 'sequel'}, {'id': 9755, 'name': 'parody'}, {'id': 245021, 'name': 'action'}, {'id': 248206, 'name': 'comedy'}, {'id': 248273, 'name': 'агент'}, {'id': 248274, 'name': 'джонни'}, {'id': 248275, 'name': 'инглиш'}]"
480530,[]
401469,"[{'id': 515, 'name': 'women'}, {'id': 520, 'name': 'chicago'}, {'id': 10051, 'name': 'heist'}, {'id': 10988, 'name': 'based on tv series'}]"
475132,"[{'id': 5299, 'name': 'war correspondent'}, {'id': 5565, 'name': 'biography'}]"
490132,[]
525460,"[{'id': 131, 'name': 'italy'}, {'id': 6876, 'name': 'vacation'}, {'id': 9826, 'name': 'murder'}, {'id': 11510, 'name': 'unfaithfulness'}, {'id': 18420, 'name': 'surveillance'}]"
442062,"[{'id': 3335, 'name': 'halloween'}, {'id': 9663, 'name': 'sequel'}]"
537996,"[{'id': 549, 'name': 'prostitute'}, {'id': 1321, 'name': 'gold'}, {'id': 1508, 'name': 'new mexico'}, {'id': 1582, 'name': 'saloon'}, {'id': 1897, 'name': 'oregon'}, {'id': 2673, 'name': 'horse'}, {'id': 4344, 'name': 'musical'}, {'id': 9706, 'name': 'anthology'}, {'id': 9755, 'name': 'parody'}, {'id': 12990, 'name': 'singing'}, {'id': 15363, 'name': 'bank robbery'}, {'id': 33407, 'name': 'hanging'}, {'id': 33600, 'name': 'stagecoach'}, {'id': 155291, 'name': 'cowboy'}, {'id': 160522, 'name': 'wagon train'}, {'id': 162757, 'name': 'singing cowboy'}, {'id': 192945, 'name': 'american west'}, {'id': 246968, 'name': 'the old west'}, {'id': 249077, 'name': 'american indian'}]"
446021,[]
375262,"[{'id': 2011, 'name': 'queen'}, {'id': 5565, 'name': 'biography'}, {'id': 9823, 'name': 'rivalry'}, {'id': 160279, 'name': '18th century'}, {'id': 220649, 'name': 'british monarchy'}]"
